Name	Reactants
rule0001	Any;Any
rule0002	Any;NAD_CoF
rule0003	NADH_CoF;Any
rule0004	Any;NADH_CoF;O2
rule0005	Any;NAD_CoF;WATER
rule0006	Any;Any
rule0007	Any;WATER
rule0008	Any;GLUCOSYL_ACCEPTOR_CoF
rule0009	GLUCOSYL_DONOR_CoF;Any
rule0010	METHYL_ACCEPTOR_CoF;Any
rule0011	METHYL_DONOR_CoF;Any
rule0012	Any;Any
rule0013	Any;WATER
rule0014	PHOSPHATE_ACCEPTOR_CoF;Any
rule0015	Any;PHOSPHATE_DONOR_CoF
rule0016	WATER;Any
rule0017	Any;Pi
rule0018	Any;NAD_CoF
rule0019	Any
rule0020	Any;WATER
rule0021	CoA;Any
rule0022	Any;Any
rule0023	Any;CO2
rule0024	Any
rule0025	Any;NADH_CoF
rule0026	Any;NAD_CoF;WATER
rule0027	NADH_CoF;Any
rule0028	Any
rule0029	Any;Any
rule0030	Any;CARBONYL_CoF
rule0031	AMINO_CoF;Any
rule0032	Any
rule0033	METHYL_ACCEPTOR_CoF;Any
rule0034	METHYL_DONOR_CoF;Any
rule0035	Any;WATER
rule0036	Any;Any
rule0037	PPI;Any
rule0038	Any;PPI;PYROPHOSPHATE_ACCEPTOR_CoF
rule0039	CoA;Any;PYROPHOSPHATE_DONOR_CoF
rule0040	Any
rule0041	CoA;Any
rule0042	ACETYL-COA;Any
rule0043	Any;METHYL_DONOR_CoF
rule0044	Any;Any;CO2
rule0045	Any;Any;O2
rule0046	METHYL_ACCEPTOR_CoF;Any
rule0047	SULFATE_ACCEPTOR_CoF;Any
rule0048	Any;SULFATE_DONOR_CoF
rule0049	Any;PHOSPHATE_ACCEPTOR_CoF;Pi
rule0050	Any;Any;PHOSPHATE_DONOR_CoF
rule0051	Any;Any
rule0052	Any;O2
rule0053	Any
rule0054	Any
rule0055	Any;NH3
rule0056	Any;WATER
rule0057	Any;Any
rule0058	Any;Any
rule0059	CoA;Any
rule0060	Any;WATER
rule0061	CoA;Any
rule0062	ACETYL-COA;Any
rule0063	Any
rule0064	Any
rule0065	Any;Any
rule0066	Any;PPI;PYROPHOSPHATE_ACCEPTOR_CoF
rule0067	Any;Any;PYROPHOSPHATE_DONOR_CoF
rule0068	Any;NAD_CoF;WATER
rule0069	Any;Any
rule0070	Any;WATER
rule0071	Any
rule0072	NAD_CoF;Any;WATER;WATER
rule0073	Any;NADH_CoF;O2
rule0074	Any;O2
rule0075	CoA;Any
rule0076	Any;Any
rule0077	NADH_CoF;Any;O2
rule0078	Any;H2O2
rule0079	Any;Any
rule0080	Any;NADH_CoF;CO2
rule0081	NAD_CoF;Any
rule0082	Any;NAD_CoF;WATER
rule0083	Any;NADH_CoF;O2
rule0084	Any;Any
rule0085	Any;WATER
rule0086	CoA;Any
rule0087	ACETYL-COA;Any
rule0088	Any
rule0089	Any;Any
rule0090	Any;WATER
rule0091	Any;NH3;H2O2
rule0092	Any;WATER;O2
rule0093	Any
rule0094	Any;NADH_CoF;O2
rule0095	Any;PRENYL_ACCEPTOR_CoF
rule0096	Any;Pi
rule0097	Any;Any
rule0098	Any;Any
rule0099	Any;Pi
rule0100	Any;NH3
rule0101	Any;WATER
rule0102	Any;NADH_CoF
rule0103	NAD_CoF;Any
rule0104	Any;Any
rule0105	Any;PPI
rule0106	Any
rule0107	Any;NAD_CoF
rule0108	Any;NADH_CoF
rule0109	Any;O2
rule0110	Any;PRENYL_DONOR_CoF
rule0111	Any;WATER
rule0112	Any;Any;H2O2
rule0113	Any;WATER;O2
rule0114	Any;H2O2
rule0115	CoA;Any;CO2
rule0116	Any;Any
rule0117	Any;Any
rule0118	Any;O2
rule0119	Any;NAD_CoF
rule0120	METHYL_ACCEPTOR_CoF;Any
rule0121	METHYL_DONOR_CoF;Any
rule0122	Any;Any
rule0123	Any;Any
rule0124	Any;Any
rule0125	WATER;Any
rule0126	Any;Any
rule0127	Any;SULFATE
rule0128	WATER;Any
rule0129	Any
rule0130	Any
rule0131	Any;O2
rule0132	Any
rule0133	NAD_CoF;Any;WATER
rule0134	NADH_CoF;Any;O2
rule0135	NADH_CoF;Any
rule0136	CoA;Any
rule0137	ACETYL-COA;Any;WATER
rule0138	Any
rule0139	Any
rule0140	Any
rule0141	Any;WATER
rule0142	CoA;Any;NAD_CoF
rule0143	Any;NADH_CoF
rule0144	Any;NADH_CoF;O2
rule0145	Any;WATER;O2
rule0146	Any
rule0147	Any;H2O2
rule0148	HCl;Any
rule0149	Any;NAD_CoF;WATER;WATER
rule0150	Any;Any
rule0151	Any;Any
rule0152	ACETYL-COA;Any
rule0153	Any
rule0154	Any
rule0155	Any
rule0156	NADH_CoF;Any;Any
rule0157	Any;NAD_CoF;WATER
rule0158	Any;Any
rule0159	Any;WATER
rule0160	Any;NH3
rule0161	Any;WATER
rule0162	Any;GLUCOSYL_ACCEPTOR_CoF
rule0163	GLUCOSYL_DONOR_CoF;Any
rule0164	NADH_CoF;NADH_CoF;Any
rule0165	Any;NAD_CoF;NAD_CoF;WATER
rule0166	NADH_CoF;Any;NH3
rule0167	Any;NAD_CoF;WATER
rule0168	Any
rule0169	Any
rule0170	Any;PHOSPHATE_ACCEPTOR_CoF;Pi
rule0171	CoA;Any;PHOSPHATE_DONOR_CoF
rule0172	Any
rule0173	Any;WATER
rule0174	Any;O2
rule0175	Any
rule0176	Any;Any
rule0177	NAD_CoF;Any;Any
rule0178	NADH_CoF;Any;O2
rule0179	CoA;Any;NAD_CoF;NAD_CoF
rule0180	NADH_CoF;NADH_CoF;Any
rule0181	Any;Any
rule0182	Any;PPI
rule0183	HCl;Any
rule0184	Any;WATER
rule0185	Any
rule0186	Any;WATER
rule0187	Any;NAD_CoF;CO2;WATER
rule0188	Any;NADH_CoF;O2
rule0189	Any;WATER
rule0190	Any
rule0191	Any
rule0192	Any;Any;O2
rule0193	Any;NADH_CoF
rule0194	Any;Any
rule0195	Any;PPI
rule0196	Any;Any
rule0197	Any;Any
rule0198	Any
rule0199	METHYL_ACCEPTOR_CoF;Any
rule0200	Any;METHYL_DONOR_CoF
rule0201	Any
rule0202	Any;NADH_CoF
rule0203	Any;NAD_CoF
rule0204	Any;Any
rule0205	Any;Any
rule0206	Any;Any
rule0207	CO2;Any;NH3
rule0208	Any;WATER
rule0209	Any;Any
rule0210	Any;WATER
rule0211	Any;PPI
rule0212	Any;WATER
rule0213	NAD_CoF;WATER;Any
rule0214	Any;NADH_CoF;O2
rule0215	Any;PPI
rule0216	WATER;Any
rule0217	Any;FAD_CoF;WATER
rule0218	Any;FADH2_CoF;O2
rule0219	Any;PPI
rule0220	Any
rule0221	Any;CO2;WATER
rule0222	Any
rule0223	Any;PHOSPHATE_ACCEPTOR_CoF
rule0224	Any;PHOSPHATE_DONOR_CoF
rule0225	NAD_CoF;Any;Any;WATER
rule0226	Any;NADH_CoF;O2
rule0227	METHYL_ACCEPTOR_CoF;METHYL_ACCEPTOR_CoF;Any
rule0228	METHYL_DONOR_CoF;METHYL_DONOR_CoF;Any
rule0229	Any;PPI
rule0230	Any
rule0231	Any;Any
rule0232	Any;CO2;Any;Any
rule0233	Any;Any;O2
rule0234	Any;NAD_CoF
rule0235	Any;NAD_CoF
rule0236	METHYL_ACCEPTOR_CoF;Any
rule0237	METHYL_DONOR_CoF;Any
rule0238	Any;Any
rule0239	Any;PPI
rule0240	Any;WATER
rule0241	Any
rule0242	NH3;Any
rule0243	Any;WATER;WATER
rule0244	Any
rule0245	Any
rule0246	Any;WATER
rule0247	Any;Any
rule0248	Any;CO2;PPI
rule0249	Any
rule0250	Any
rule0251	Any;Any;Any
rule0252	Any;Any;WATER
rule0253	Any;GLUCOSYL_ACCEPTOR_CoF
rule0254	Any;GLUCOSYL_DONOR_CoF
rule0255	ACETYL-COA;Any
rule0256	Any
rule0257	Any;NH3
rule0258	Any;PPI
rule0259	Any
rule0260	Any;Any
rule0261	Any;WATER
rule0262	Any;GLUCOSYL_DONOR_CoF
rule0263	Any;GLUCOSYL_ACCEPTOR_CoF
rule0264	Any;Any;Any
rule0265	Any;O2;O2
rule0266	Any;NADH_CoF;O2
rule0267	Any;NAD_CoF;Pi
rule0268	Any;NADH_CoF
rule0269	CoA;Any;NAD_CoF
rule0270	Any;NADH_CoF;CO2
rule0271	Any;H2O2
rule0272	Any;Any;Any
rule0273	Any;Any
rule0274	Any;CO2
rule0275	CoA;Any
rule0276	Any;Any
rule0277	Any;PPI
rule0278	Any
rule0279	Any;Any
rule0280	Any
rule0281	Any;Any
rule0282	Any
rule0283	Any;Any
rule0284	Any;Any
rule0285	Any;Any;O2
rule0286	Any;Any;WATER
rule0287	Any;Pi
rule0288	Any;FAD_CoF
rule0289	Any
rule0290	Any;Any
rule0291	Any;Any
rule0292	Any;CO2
rule0293	Any;NADH_CoF
rule0294	Any;Any;NAD_CoF
rule0295	NAD_CoF;Any
rule0296	NAD_CoF;Any;WATER
rule0297	NADH_CoF;Any
rule0298	Any;Any
rule0299	Any;NH3
rule0300	Any;Any
rule0301	Any;Any;WATER
rule0302	Any
rule0303	Any;Any
rule0304	Any
rule0305	Any;WATER
rule0306	Any
rule0307	Any;O2
rule0308	Any
rule0309	FADH2_CoF;Any
rule0310	Any;Any
rule0311	Any;WATER
rule0312	NADH_CoF;Any
rule0313	NAD_CoF;Any;Any
rule0314	Any;PPI
rule0315	Any
rule0316	Any;NADH_CoF
rule0317	Any;Any;CO2;WATER
rule0318	Any;PPI
rule0319	Any
rule0320	Any;Any
rule0321	Any;WATER
rule0322	NAD_CoF;Any;WATER;WATER
rule0323	Any;Any;CO2;WATER
rule0324	Any;Any
rule0325	NAD_CoF;Any;WATER
rule0326	NADH_CoF;Any;O2
rule0327	Any;NADH_CoF;O2
rule0328	Any;Any
rule0329	Any;CO2
rule0330	Any;NADH_CoF;CO2
rule0331	NADH_CoF;Any
rule0332	NAD_CoF;Any;WATER;WATER
rule0333	Any;NADH_CoF
rule0334	NADH_CoF;NADH_CoF;Any
rule0335	NAD_CoF;NAD_CoF;Any;WATER
rule0336	Any;SULFITE
rule0337	Any;WATER
rule0338	Any;WATER
rule0339	Any
rule0340	Any;NH3
rule0341	Any
rule0342	Any;Any
rule0343	Any;WATER
rule0344	Any
rule0345	Any;PPI;PYROPHOSPHATE_ACCEPTOR_CoF
