SMILES,ID
C=C(C(=O)C(O)C(C)[C@H]1[C@@H](OC(C)=O)C[C@@]2(C)[C@@H]3C[C@@H](O)[C@H]4[C@H](C)C(=O)C=C[C@@]45C[C@@]35CC[C@]12C)C(C)CO,405735Z01
C=C(C(=O)[C@H](O)[C@@H](C)[C@H]1[C@@H](OC(C)=O)C[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)C(=O)C=C[C@]45C[C@]35CC[C@]12C)[C@@H](C)CO,405743Z01
COc1c2ccoc2nc2c(OC)c(OCC(O)C(C)(C)O)ccc12,407629Z01
Cn1c(-c2ccc3c(c2)OCO3)cc(=O)c2ccccc21,407632Z01
CN1CCc2cc3c(c4c2C1Cc1ccccc1-4)OCO3,407638A01
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,407665Z01
[O-][n+]1ccccc1S,407705Z01
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,407765Z01
N=C(N)NOCC[C@H](N)C(=O)O,407769Z01
COc1c2occc2cc2ccc(=O)oc12,407868Z01
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,407950Z01
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,407994Z01
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,410637Z01
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,414466Z01
CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@@]21C,414740Z01
C[N+]1=C2C=C(NCCc3ccc(O)cc3)C(=O)c3[nH]cc(c32)CC1,423636Z01
CC(C)=CCC(OC(=O)CC(C)(C)O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,423639Z01
CC(=O)OC(CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,423642Z01
CC(C)=CCC(OC(=O)C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,423645Z01
CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@@H]1O[C@H]12,426131Z03
OC1OC[C@H](O)[C@H](O)[C@H]1O,426443Z01
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,426567Z01
CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3,433626Z02
COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,435449Z05
COc1ccc2c(c1OC)CN(C)CCc1cc3c(cc1C(=O)C2)OCO3,444294Z01
C/C(=C\CC/C=C(\C)CC/C=C(\C)CCC(O)C(C)(C)O)CC/C=C(\C)CCC(O)C(C)(C)O,444791Z01
C[C@@H]1O[C@@H](O[C@@H]2C(O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)CC[C@]6(C(=O)O)CC[C@]45C)[C@]3(C)CO)OC[C@@H](OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)[C@H](O)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,444794Z01
C[C@@H]1O[C@@H](O[C@@H]2C(O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)CC[C@]6(C(=O)O)CC[C@]45C)C3(C)C)OC[C@@H](OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)[C@H](O)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,444798Z01
C[C@@H]1O[C@@H](O[C@@H]2C(O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)CC[C@]6(C(=O)O)CC[C@]45C)C3(C)C)OC[C@@H](OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)[C@H](O)[C@H](O[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)[C@H]1O,444802Z01
COC1C2(O)COC3=CC(=O)C=CC31c1cc(O)c(O)cc1C2,444806Z01
O=C(/C=C/c1ccc(O)cc1)OC[C@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)[C@H](OC(=O)/C=C/c2ccc(O)cc2)[C@@H](O)[C@@H]1O,444810Z01
C/C(=C\CC/C=C(\C)CC/C=C(\C)CCC(O)C(C)(O)CO)CC/C=C(\C)CCC(O)C(C)(C)O,445535Z01
CC1(C)CCC[C@]2(COC(=O)/C=C/c3ccc(O)c(O)c3)C1CC[C@@]13C[C@@H](CCC12)[C@@](O)(CO)C3,445538Z01
COc1cc(/C=C/C(=O)OCC(Cc2ccc(O)c(OC)c2)C(COC(C)=O)Cc2ccc(O)c(OC)c2)ccc1O,445541Z01
CC1(C)CCC[C@]2(CO)C1CC[C@@]13C[C@@H](CCC12)[C@@](O)(COC(=O)/C=C/c1ccc(O)c(O)c1)C3,445544Z01
COc1cc(CC(COC(C)=O)C(COC(=O)/C=C/c2ccc(O)c(O)c2)Cc2ccc(O)c(OC)c2)ccc1O,445547Z01
CC(C)(O)CCc1cc(-c2oc3cc(O)c(CCC(C)(C)O)c(O)c3c(=O)c2O)ccc1O,445550Z01
CC(C)=CCc1c(O)cc2oc(-c3ccc(O)cc3)c(O)c(=O)c2c1O,445553Z01
