ZINC Number	Mol Weight	Formula	Smiles	Pathway	Mean (30 mM)	Stdev (30 mM)
ZINC00001409	283.16	C12H12Cl2N4	CCc1c(c(nc(n1)N)N)c2ccc(c(c2)Cl)Cl	Cations channels	1.00	0.12
ZINC00001723	269.13	C11H10Cl2N4	Cc1c(c(nc(n1)N)N)c2ccc(c(c2)Cl)Cl	Cations channels	1.02	0.02
ZINC00002433	257.38	C17H23NO	C[NH+]1CC[C@@]23CCCC[C@H]2[C@@H]1Cc4c3cc(cc4)O	Proteasome inducers	0.90	0.05
ZINC00040832	263.34	C12H21N7	CN(c1nc(nc(n1)N2CCCC2)N3CCCC3)N	Calcineurin1	0.97	0.15
ZINC00042485	177.22	C11H13O2	Cc1cc(c(c(c1C)C(=O)[O-])C)C	CYS path	0.89	0.03
ZINC00046208	217.27	C10H9N4S	Cc1ccccc1N/N=C(/C#N)\C(=S)N	TRP path	0.88	0.04
ZINC00046618	297.36	C16H19N5O	c1c2c([nH]c1/C=N/NC(=O)c3c4c([nH]n3)CCC4)CCCC2	MeC	0.80	0.14
ZINC00047506	266.29	C16H14N2O2	Cc1ccc(cc1)[C@]2(C(=O)NC(=O)N2)c3ccccc3	Cations channels	1.01	0.04
ZINC00047507	266.29	C16H14N2O2	Cc1ccc(cc1)[C@@]2(C(=O)NC(=O)N2)c3ccccc3	Cations channels	0.96	0.02
ZINC00051426	197.23	C13H11NO	c1ccc2cc3c(cc2c1)C(=O)CCN3	E3 ligase	0.87	0.18
ZINC00052010	271.21	C11H7N6O3	c1ccc(cc1)c2c(nnn2c3c(non3)N)C(=O)[O-]	PI3K	0.99	0.08
ZINC00052719	341.36	C18H19N3O4	CC(=O)NN1[C@@H](Nc2ccccc2C1=O)c3ccc(c(c3)OC)OC	PI3K	1.00	0.11
ZINC00054122	321.38	C18H19N5O	Cc1c(c2ccccc2[nH]1)/C=N/NC(=O)c3c4c([nH]n3)CCCC4	MeC	1.19	0.20
ZINC00054128	307.35	C17H17N5O	c1ccc2c(c1)c(c[nH]2)/C=N/NC(=O)c3c4c([nH]n3)CCCC4	MeC	1.19	0.05
ZINC00055632	311.38	C17H21N5O	c1c2c([nH]c1/C=N/NC(=O)c3c4c([nH]n3)CCCC4)CCCC2	MeC	0.96	0.12
ZINC00055641	269.30	C14H15N5O	c1cnccc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	0.81	0.09
ZINC00057042	207.10	C8H3F4O2	c1cc(c(cc1C(=O)[O-])F)C(F)(F)F	CYS path	1.02	0.09
ZINC00057065	219.35	C14H23N2	C[NH+](Cc1ccccc1N)C2CCCCC2	TRP path	0.93	0.02
ZINC00057464	249.72	C12H14ClN4	CCc1c(c(nc([nH+]1)N)N)c2ccc(cc2)Cl	Cations channels	1.60	0.21
ZINC00058285	184.24	C12H12N2	c1ccc(cc1)Nc2ccccc2N	TRP path	0.78	0.09
ZINC00058608	302.30	C16H15FN2O3	COc1ccc(cc1OC)/C=N/NC(=O)c2cccc(c2)F	PI3K	0.95	0.12
ZINC00058693	333.77	C16H16ClN3O3	Cc1ccc(cn1)C(=O)N/N=C/c2cc(c(cc2Cl)OC)OC	PI3K	1.02	0.07
ZINC00058795	254.52	C7H2Cl3NOS	c1c2c(c(c(c1Cl)Cl)Cl)[nH]c(=S)o2	AKT1	1.23	0.36
ZINC00061012	280.61	C10H6ClF3NO3	c1cc(c(cc1Cl)C2=NO[C@](C2)(C(F)(F)F)O)O	TRP path	1.12	0.10
ZINC00065540	300.31	C15H16N4O3	CCOC(=O)C1=C(Nc2ncnn2[C@H]1c3cccc(c3)O)C	Proteasome inducers	0.93	0.09
ZINC00068486	276.33	C15H20N2O3	C[C@@]1(C2(CCCCC2)OC(=O)N1Cc3ccccn3)O	TRP path	0.97	0.06
ZINC00068652	275.15	C12H14Cl2NO2	c1c(cc(c(c1/C=[NH+]/C[C@H]2CCCO2)O)Cl)Cl	ATPase	0.67	0.06
ZINC00072461	328.37	C17H20N4O3	COc1cccc(c1OC)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	0.94	0.05
ZINC00072896	286.30	C15H15FN4O	c1ccc(c(c1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3)F	MeC	0.91	0.07
ZINC00073267	314.41	C16H18N4OS	CSc1ccc(cc1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	1.00	0.08
ZINC00074160	197.19	C12H7NO2	c1ccc2cc3c(cc2c1)C(=O)NC3=O	E3 ligase	1.09	0.14
ZINC00074639	344.36	C19H18F2N2O2	CC(=O)c1ccc(c(c1)F)N2CCN(CC2)C(=O)c3ccc(cc3)F	GLN path	0.79	0.13
ZINC00078723	337.76	C18H12ClN3O2	Cn1c(=O)c-2cc3ccccc3n(c2nc1=O)c4cccc(c4)Cl	E3 ligase	0.96	0.09
ZINC00079109	283.35	C17H19N2O2	CCn1c2ccccc2nc1[C@@H](c3ccccc3OC)O	TRP path	0.93	0.13
ZINC00081250	305.27	C16H9N4O3	c1ccc(cc1)c2c3cc(ccc3n4c2c(nnc4)[O-])[N+](=O)[O-]	PI3K	1.00	0.07
ZINC00086324	296.15	C14H11Cl2NO2	c1ccc(c(c1)[C@@H](C(=O)Nc2ccc(cc2)Cl)O)Cl	TRP path	1.03	0.11
ZINC00087028	252.74	C12H17ClN4	c1c(nc(nc1Cl)N2CCCC2)N3CCCC3	Calcineurin1	0.93	0.01
ZINC00087389	276.38	C14H24N6	CC(C)Nc1nc(nc(n1)N2CCCC2)N3CCCC3	Calcineurin1	0.96	0.03
ZINC00087528	203.28	C12H17N3	CCc1c(c2nc(c(c(n2n1)C)C)C)C	Calcineurin1	0.87	0.10
ZINC00087935	321.33	C15H19N3O5	CCOC(=O)N1CCN(CC1)C(=O)c2ccc(c(c2)C)[N+](=O)[O-]	HIS path	0.95	0.10
ZINC00090518	220.58	C8H4ClF3N2	c1c(cc(c2c1[nH]cn2)Cl)C(F)(F)F	AKT1	1.04	0.06
ZINC00091288	255.12	C7H8Cl2N2O2S	Cc1cc(c(cc1Cl)Cl)S(=O)(=O)NN	Cations channels	1.00	0.04
ZINC00094788	270.31	C13H10N4OS	Cc1cc2nc(c(c(n2n1)c3ccco3)C#N)SC	Calcineurin1	0.97	0.09
ZINC00097660	289.35	C16H21N2O3	CCOC(=O)c1c[nH+]c2c(cccc2c1NC[C@H](C)O)C	TRP path	0.93	0.18
ZINC00098993	224.35	C10H12N2S2	CCSc1c2c(c(sc2ncn1)C)C	Autophagy	0.89	0.02
ZINC00104010	254.28	C15H14N2O2	COc1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2	Lip	1.07	0.04
ZINC00107866	230.07	C10H7Cl2O2	c1cc(ccc1[C@@H]2CC2(Cl)Cl)C(=O)[O-]	CYS path	1.05	0.03
ZINC00109133	270.29	C14H14N4O2	c1cc(cc(c1)O)/C=N/NC(=O)c2c3c([nH]n2)CCC3	MeC	0.85	0.06
ZINC00112851	324.38	C18H20N4O2	CC1(CC2=C([C@@H](n3c(ncn3)N2)c4cccc(c4)OC)C(=O)C1)C	Proteasome inducers	0.93	0.05
ZINC00120276	209.20	C13H7NO2	c1ccc2c(c1)C(=O)c3ccncc3C2=O	AKT1	0.69	0.16
ZINC00127447	213.23	C13H11NO2	CCN1c2ccc(c3c2c(ccc3)C1=O)O	Proteasome inducers	1.21	0.20
ZINC00128896	273.33	C16H19NO3	c1ccc2c(c1)[C@@](C(=O)N2)([C@H]3CCCCCCC3=O)O	Proteasome I-lact-mg 132	0.99	0.09
ZINC00132651	201.27	C12H15N3	CC[C@@H](C)Nc1c2ccccc2ncn1	Autophagy	0.87	0.20
ZINC00133390	210.23	C14H10O2	c1ccc(cc1)[C@H]2c3ccccc3C(=O)O2	Lip	0.82	0.03
ZINC00136815	288.37	C14H16N4OS	Cc1ccsc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	0.89	0.03
ZINC00140499	343.45	C18H27N6O	CC1(CC(CC([NH+]1C)(C)C)NC(=O)c2ccc(cc2)n3cnnn3)C	ATPase	0.95	0.06
ZINC00140791	347.37	C20H17N3O3	Cc1ccc(cc1)c2[nH]c(=O)c3cc4cc(c(cc4nc3n2)OC)OC	PI3K	0.78	0.06
ZINC00141521	262.22	C12H10N2O5	COc1ccc2c(c1)O[C@@]3(C(=C2)C(=O)NC(=O)N3)O	E3 ligase	0.96	0.06
ZINC00144184	215.29	C13H17N3	Cc1ccc2c(c1)c(ncn2)NCC(C)C	Autophagy	1.06	0.05
ZINC00147843	314.34	C16H18N4O3	CC1=C([C@@H](n2c(ncn2)N1)c3cccc(c3)O)C(=O)OC(C)C	Proteasome inducers	0.98	0.12
ZINC00153185	320.36	C17H22NO5	C[C@@H]1c2cc(c(cc2CCN1C(=O)CCCC(=O)[O-])OC)OC	CYS path	0.99	0.05
ZINC00153191	338.40	C16H20NO5S	C[C@@H]1c2cc(c(cc2CCN1C(=O)CSCC(=O)[O-])OC)OC	CYS path	0.99	0.02
ZINC00153784	337.26	C13H10F3N7O	COc1ccc(cc1)n2c(nnn2)c3cnc(nc3C(F)(F)F)N	ATPase	1.03	0.03
ZINC00159307	266.51	C9H6Cl3NO2	c1cc(cc(c1)O)NC(=O)C(=C(Cl)Cl)Cl	Autophagy	1.47	0.16
ZINC00159566	332.42	C20H22N5	C[NH+]1CCN(CC1)c2nc(c(nn2)c3ccccc3)c4ccccc4	HIS path	1.34	0.19
ZINC00163222	333.42	C22H22FN2	CN(C)c1ccc(cc1)/C=C/c2cc[n+](cc2)Cc3ccc(cc3)F	GLN path	0.95	0.07
ZINC00164027	214.24	C12H6O2S	c1ccc2c(c1)C(=O)c3ccsc3C2=O	AKT1	0.70	0.15
ZINC00168806	254.28	C15H14N2O2	c1ccc(cc1)[C@]2(Nc3ccccc3C(=O)N2)CO	TRP path	0.95	0.10
ZINC00173234	250.32	C12H14N2O2S	CCNS(=O)(=O)c1cccc2c1cccc2N	Proteasome inducers	0.99	0.02
ZINC00178917	201.26	C13H15NO	Cc1ccc2c(c1)c3c([nH]2)[C@@H](CCC3)O	TRP path	0.97	0.11
ZINC00179289	286.30	C15H15FN4O	c1cc(ccc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3)F	MeC	1.01	0.01
ZINC00179334	255.28	C13H13N5O	c1cnccc1/C=N/NC(=O)c2c3c([nH]n2)CCC3	MeC	0.77	0.09
ZINC00180129	328.37	C17H20N4O3	COc1ccc(c(c1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3)OC	MeC	1.00	0.07
ZINC00182876	288.08	C9H8BrN2O4	c1c(cncc1Br)C(=O)N[C@@H](CO)C(=O)[O-]	Proteasome I-lact-mg 132	0.92	0.06
ZINC00186403	284.31	C15H16N4O2	c1cc(ccc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3)O	MeC	0.84	0.09
ZINC00186442	284.31	C15H16N4O2	c1cc(cc(c1)O)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	1.12	0.08
ZINC00186461	284.31	C15H16N4O2	COc1ccccc1/C=N/NC(=O)c2c3c([nH]n2)CCC3	MeC	1.02	0.08
ZINC00186586	312.37	C17H20N4O2	CCOc1ccccc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	0.91	0.08
ZINC00192269	284.31	C15H16N4O2	c1ccc(c(c1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3)O	MeC	2.32	0.93
ZINC00198367	325.36	C19H19NO4	CCOC(=O)c1cc2c(n(c1=O)c3ccc(cc3)C)CCCC2=O	E3 ligase	1.01	0.02
ZINC00198854	248.21	C13H13O3P	c1ccc(cc1)[P@](=O)(Cc2ccccc2O)O	Autophagy	0.89	0.00
ZINC00204973	238.29	C14H14N4	Cc1cc2nc(c(c(n2n1)N)c3ccccc3)C	Calcineurin1	1.11	0.09
ZINC00208567	255.24	C12H12F3N3	Cc1cc2nc3c(c(n2n1)C(F)(F)F)CCCC3	Calcineurin1	0.89	0.07
ZINC00221036	327.42	C19H25N3O2	Cc1ccc(cc1)C2=NN(C(=O)CC2)CCC(=O)NC3CCCC3	HIS path	1.06	0.03
ZINC00222799	339.37	C18H19N4O3	Cc1ccccc1[C@H]2C3=C(CCCC3=O)Nc4n2nc(n4)C(=O)OC	E3 ligase	0.92	0.05
ZINC00223182	331.36	C18H21NO5	CCOC(=O)C1=CN(C=C(C1c2cccc(c2)O)C(=O)OCC)C	Proteasome inducers	1.02	0.05
ZINC00230833	331.37	C17H21N3O4	Cn1cccc1CC(=O)N/N=C/c2cc(c(cc2OC)OC)OC	PI3K	1.08	0.04
ZINC00230874	301.34	C16H19N3O3	Cn1cccc1CC(=O)N/N=C/c2ccc(c(c2)OC)OC	PI3K	1.00	0.00
ZINC00231436	193.24	C10H9O2S	C/C(=C/C(=O)[O-])/C=C/c1cccs1	CYS path	0.92	0.09
ZINC00233904	269.32	C16H17N2O2	Cn1c2ccccc2nc1[C@@H](c3cccc(c3)OC)O	TRP path	0.94	0.03
ZINC00241106	328.36	C18H20N2O4	Cc1ccc(cc1)NC(=O)[C@@H]([C@H](C(=O)Nc2ccc(cc2)C)O)O	TRP path	1.00	0.07
ZINC00244312	295.27	C16H11N2O4	c1ccc2c(c1)c(c(c(=O)o2)N)Nc3ccccc3C(=O)[O-]	TRP path	0.90	0.06
ZINC00254142	338.33	C19H15FN2O3	c1ccc(cc1)COn2cccc(c2=O)C(=O)Nc3cccc(c3)F	Lip	0.94	0.07
ZINC00254148	338.33	C19H15FN2O3	c1ccc(cc1)COn2cccc(c2=O)C(=O)Nc3ccccc3F	Lip	0.91	0.08
ZINC00259013	296.39	C18H22N3O	C[NH+]1CCN(CC1)NC(=O)c2ccc(cc2)c3ccccc3	ATPase	1.04	0.08
ZINC00266162	268.33	C15H12N2OS	c1ccc(cc1)N(c2ccccc2)C3=NC(=O)CS3	E3 ligase	0.95	0.06
ZINC00266835	282.29	C16H14N2O3	Cc1nc2cc(ccc2n1c3ccc(cc3)OC)C(=O)[O-]	HIS path	1.10	0.09
ZINC00266878	342.35	C18H18N2O5	Cc1nc2cc(ccc2n1c3cc(c(c(c3)OC)OC)OC)C(=O)[O-]	HIS path	1.04	0.07
ZINC00268590	250.29	C13H18N2O3	Cc1ccc(cc1)NN2C(=O)OC([C@@]2(C)O)(C)C	Proteasome I-lact-mg 132	0.81	0.02
ZINC00272282	213.17	C10H5N4O2	c1ccc(c(c1)C(=O)[O-])NN=C(C#N)C#N	TRP path	1.24	0.13
ZINC00281753	286.07	C9H7IN2O	Cc1[nH]c(=O)c2cc(ccc2n1)I	Autophagy	1.12	0.04
ZINC00284706	251.32	C14H21NO3	CC(C)C(=O)NCCc1ccc(c(c1)OC)OC	PI3K	0.97	0.02
ZINC00285062	339.35	C18H17N3O4	c1ccc(cc1)C(=O)N2CCN(CC2)C(=O)c3ccc(cc3)[N+](=O)[O-]	HIS path	1.11	0.13
ZINC00297902	274.55	C7H6Cl3NO2S	c1cc(sc1)C(=O)N[C@@H](C(Cl)(Cl)Cl)O	TRP path	0.95	0.06
ZINC00299967	311.38	C18H21N3O2	CCOC(=O)c1cnc(nc1N2CCCCC2)c3ccccc3	Calcineurin1	0.79	0.05
ZINC00300148	276.34	C17H16N4	CN(C)c1nc(c(nn1)c2ccccc2)c3ccccc3	HIS path	1.09	0.11
ZINC00300173	260.40	C16H26N3	c1cc(c(cc1[NH+]2CCCCC2)N3CCCCC3)N	Calcineurin1	1.13	0.04
ZINC00300618	290.70	C14H11ClN2O3	c1cc(ccc1CNC(=O)c2ccc(cc2)[N+](=O)[O-])Cl	HIS path	1.08	0.03
ZINC00301222	324.37	C19H20N2O3	COc1ccc(cc1OC)/C=N/NC(=O)[C@@H]2C[C@@H]2c3ccccc3	PI3K	1.06	0.08
ZINC00305099	296.75	C14H17ClN2O3	CN(C1CCCCC1)C(=O)c2ccc(cc2Cl)[N+](=O)[O-]	HIS path	0.88	0.03
ZINC00308444	328.38	C19H22NO4	C[NH+]1CC[C@]23C=C(C(=O)C=C2[C@H]1Cc4c3c(c(cc4)OC)O)OC	Proteasome inducers	0.95	0.00
ZINC00314072	229.30	C12H11N3S	Cc1c(c2ccccc2[nH]1)c3csc(n3)N	AKT1	1.61	0.07
ZINC00315276	291.40	C14H25N7	CN(c1nc(nc(n1)N2CCCCC2)N3CCCCC3)N	Calcineurin1	1.03	0.10
ZINC00317276	320.35	C18H16N4O2	Cc1cc(c2c3c(cn2n1)c(=O)n(c(=O)n3C)C)c4ccccc4	E3 ligase	0.89	0.02
ZINC00317278	311.33	C18H17NO4	c1ccc(cc1)C(=O)c2ccc(cc2)OC(=O)N3CCOCC3	GLN path	0.84	0.10
ZINC00327565	288.39	C16H24N4O	Cc1c(c(nc(n1)N2CCCCC2)N3CCCCC3)C=O	Calcineurin1	1.03	0.06
ZINC00328023	298.31	C17H15FN2O2	CC1=NN([C@](C1)(c2ccc(cc2)F)O)C(=O)c3ccccc3	TRP path	0.86	0.02
ZINC00331183	197.67	C9H12ClN3	c1cnc(nc1Cl)N2CCCCC2	Calcineurin1	0.91	0.03
ZINC00331466	246.37	C15H24N3	c1c[nH+]c(cc1N2CCCCC2)N3CCCCC3	Calcineurin1	0.89	0.02
ZINC00331468	246.37	C15H24N3	c1cc([nH+]c(c1)N2CCCCC2)N3CCCCC3	Calcineurin1	0.91	0.04
ZINC00331977	304.36	C17H22NO4	CC(C)CCOc1ccc(cc1)C(=O)N2CCC[C@H]2C(=O)[O-]	CYS path	0.76	0.02
