ID	Name	ID equation	SMILES equation	Rxn hash	Reaction rules
pkr0000001		(1) cpd03091[c0] => (1) pkc0000048[c0]	(1) CC1OC(n2cnc3c(N)ncnc32)C(O)C1O => (1) CCOC1C(O)C(O)c2nc3c(N)ncnc3n21	R00af0d59e39a8a0164bf7ac0bec1fad91eafbb66779c8b7be4b5f5961ce5a1c5	rule0028_120
pkr0000002		(1) METHYL_DONOR_CoF[c0] + (1) cpd00911[c0] => (1) METHYL_ACCEPTOR_CoF[c0] + (1) pkc0000125[c0]	(1) O=C1OC(COP(=O)(O)O)C(O)C(O)C1O + (1) C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O => (1) COP(=O)(O)OCC1OC(=O)C(O)C(O)C1O + (1) Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	R00fa29c11b650b1f6b918aed36477201c11325bd52ca94b68a4cec766ff38266	rule0011_7
pkr0000003		(1) cpd00236[c0] + (1) NAD_CoF[c0] => (1) pkc0000199[c0] + (1) NADH_CoF[c0]	(1) O=CC(O)C(O)COP(=O)(O)O + (1) NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1 => (1) O=CC1(O)OC1COP(=O)(O)O + (1) NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1	R010765b7bdcb0869406db5d2abe246fc40de11202201b5a452a59adc48b51902	rule0107
pkr0000004		(1) cpd00911[c0] + (1) WATER[c0] => (1) pkc0000026[c0] + (1) pkc0000191[c0]	(1) O=C1OC(COP(=O)(O)O)C(O)C(O)C1O + (1) O => (1) O=C1OCC(O)C(O)C1O + (1) O=P(O)(O)OCO	R0383841d05ec28112ab913abd24e2afe61e4f9dba73a97d15e9826eca3220246	rule0085_5
pkr0000005		(1) cpd03091[c0] => (1) pkc0000206[c0]	(1) CC1OC(n2cnc3c(N)ncnc32)C(O)C1O => (1) Nc1ncnc2c1ncn2C(CO)OC1CC1O	R05204fe2da091e518b5b7e26c3907f9020e01aac53ac85ed993ac89a4f38f98e	rule0028_120
pkr0000006		(1) METHYL_DONOR_CoF[c0] + (1) cpd00911[c0] => (1) METHYL_ACCEPTOR_CoF[c0] + (1) pkc0000197[c0]	(1) O=C1OC(COP(=O)(O)O)C(O)C(O)C1O + (1) C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O => (1) COC1C(O)C(=O)OC(COP(=O)(O)O)C1O + (1) Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	R05c5bb9a4f0fb9e229a63f7eff7264d3579dd8ad30531fa2f9f4376548072f10	rule0011_6
pkr0000007		(1) cpd00911[c0] => (1) pkc0000143[c0]	(1) O=C1OC(COP(=O)(O)O)C(O)C(O)C1O => (1) O=C(OCCOP(=O)(O)O)C1(O)C(O)C1O	R0651ef92c6fb9358ea744df1af40db4a0151e2e2baf8d225d68cb8ca7727da3d	rule0028_120
pkr0000008		(1) cpd03091[c0] => (1) pkc0000018[c0]	(1) CC1OC(n2cnc3c(N)ncnc32)C(O)C1O => (1) Cc1nc(N)c2ncn(C3OCC(O)C3O)c2n1	R06f36cd538bda6a595ba2a899c2c97ea00fdc2329d1ca716e8f181db6ef55486	rule0028_120
pkr0000009		(1) cpd03091[c0] + (1) NAD_CoF[c0] => (1) pkc0000084[c0] + (1) NADH_CoF[c0]	(1) CC1OC(n2cnc3c(N)ncnc32)C(O)C1O + (1) NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1 => (1) CC1OC2(n3cnc4c(N)ncnc43)OC1C2O + (1) NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1	R080b065096d9ebf6d085dfa5481cf116d48cd13be22a26698709869d8ec2d117	rule0107
pkr0000010		(1) cpd03091[c0] => (1) pkc0000116[c0]	(1) CC1OC(n2cnc3c(N)ncnc32)C(O)C1O => (1) CC1OC(C(O)CO)n2cnc3c(N)nc1nc32	R08a18036328b36eb035bab096023ef960de79ab0df97b3db52575c1a69e30aa7	rule0028_120
